time_sec,time_nsec,seq,lon,lat,alt,qx,qy,qz,qw
1777016979,964457086,11115,121.29765611233333,31.534038762500003,3.3548,0.0,0.0,0.0,1.0
1777016980,14425526,11116,121.29765611233333,31.534038762500003,3.3548,0.0,0.0,0.0,1.0
1777016980,64418869,11117,121.29765611233333,31.534038762500003,3.3548,0.0,0.0,0.0,1.0
1777016980,114416610,11118,121.29765611233333,31.534038762500003,3.3548,0.0,0.0,0.0,1.0
1777016980,164423005,11119,121.29765611233333,31.534038762500003,3.3548,0.0,0.0,0.0,1.0
1777016980,214467265,11120,121.29765601833333,31.534039006666664,3.3514,0.0,0.0,0.0,1.0
1777016980,264547205,11121,121.29765601833333,31.534039006666664,3.3514,0.0,0.0,0.0,1.0
1777016980,314435009,11122,121.29765601833333,31.534039006666664,3.3514,0.0,0.0,0.0,1.0
1777016980,364399740,11123,121.29765601833333,31.534039006666664,3.3514,0.0,0.0,0.0,1.0
1777016980,414466506,11124,121.29765566216665,31.53403884266667,3.4631,0.0,0.0,0.0,1.0
1777016980,464599622,11125,121.29765507616666,31.534040323999996,3.458,0.0,0.0,0.0,1.0
1777016980,514468470,11126,121.29765496883334,31.534040588,3.4553,0.0,0.0,0.0,1.0
1777016980,564441172,11127,121.29765482483332,31.534040813999997,3.4597,0.0,0.0,0.0,1.0
1777016980,614461144,11128,121.29765474583334,31.534041011166664,3.4577,0.0,0.0,0.0,1.0
1777016980,664626670,11129,121.29765461466668,31.534041257,3.4605,0.0,0.0,0.0,1.0
1777016980,714597529,11130,121.29765450250001,31.53404148666667,3.4574,0.0,0.0,0.0,1.0
1777016980,764540491,11131,121.297654389,31.53404172666667,3.4608,0.0,0.0,0.0,1.0
1777016980,814451910,11132,121.29765426533335,31.534041977500003,3.452,0.0,0.0,0.0,1.0
1777016980,864437230,11133,121.29765415850001,31.534042258166664,3.4481,0.0,0.0,0.0,1.0
1777016980,914448997,11134,121.29765403183335,31.5340425255,3.4556,0.0,0.0,0.0,1.0
1777016980,964453396,11135,121.29765393116668,31.534042803000002,3.4523,0.0,0.0,0.0,1.0
1777016981,14425287,11136,121.29765393116668,31.534042803000002,3.4523,0.0,0.0,0.0,1.0
1777016981,64394938,11137,121.29765393116668,31.534042803000002,3.4523,0.0,0.0,0.0,1.0
1777016981,114423607,11138,121.29765393116668,31.534042803000002,3.4523,0.0,0.0,0.0,1.0
1777016981,164485443,11139,121.29765393116668,31.534042803000002,3.4523,0.0,0.0,0.0,1.0
1777016981,214471681,11140,121.29765377416668,31.534043096833337,3.4538,0.0,0.0,0.0,1.0
1777016981,264523530,11141,121.29765377416668,31.534043096833337,3.4538,0.0,0.0,0.0,1.0
1777016981,314430874,11142,121.29765377416668,31.534043096833337,3.4538,0.0,0.0,0.0,1.0
1777016981,364431413,11143,121.29765377416668,31.534043096833337,3.4538,0.0,0.0,0.0,1.0
1777016981,414462642,11144,121.29765348383334,31.534043601999997,3.364,0.0,0.0,0.0,1.0
1777016981,464455700,11145,121.29765296949999,31.534045009166668,3.3729,0.0,0.0,0.0,1.0
1777016981,514446369,11146,121.29765287416667,31.534045190166662,3.3755,0.0,0.0,0.0,1.0
1777016981,564437095,11147,121.297652793,31.534045433,3.3701,0.0,0.0,0.0,1.0
1777016981,614446197,11148,121.29765267733335,31.534045647166668,3.3754,0.0,0.0,0.0,1.0
1777016981,664437538,11149,121.29765261100002,31.53404592833333,3.3715,0.0,0.0,0.0,1.0
1777016981,714447864,11150,121.29765250450001,31.534046165166668,3.3728,0.0,0.0,0.0,1.0
1777016981,764457869,11151,121.29765237300002,31.534046423166668,3.3725,0.0,0.0,0.0,1.0
1777016981,814468131,11152,121.29765227916666,31.534046701000005,3.3648,0.0,0.0,0.0,1.0
1777016981,864554422,11153,121.29765218083334,31.534046962499996,3.3679,0.0,0.0,0.0,1.0
1777016981,914464553,11154,121.29765201216667,31.534047235333333,3.3609,0.0,0.0,0.0,1.0
1777016981,964457650,11155,121.29765188733333,31.534047517333338,3.368,0.0,0.0,0.0,1.0
1777016982,14459099,11156,121.29765188733333,31.534047517333338,3.368,0.0,0.0,0.0,1.0
1777016982,64474565,11157,121.29765188733333,31.534047517333338,3.368,0.0,0.0,0.0,1.0
1777016982,114426080,11158,121.29765188733333,31.534047517333338,3.368,0.0,0.0,0.0,1.0
1777016982,164425966,11159,121.29765188733333,31.534047517333338,3.368,0.0,0.0,0.0,1.0
1777016982,214452975,11160,121.29765175050001,31.534047798166664,3.3641,0.0,0.0,0.0,1.0
1777016982,264503916,11161,121.29765175050001,31.534047798166664,3.3641,0.0,0.0,0.0,1.0
1777016982,314572766,11162,121.29765175050001,31.534047798166664,3.3641,0.0,0.0,0.0,1.0
1777016982,364426122,11163,121.29765175050001,31.534047798166664,3.3641,0.0,0.0,0.0,1.0
1777016982,414515552,11164,121.29765160583332,31.534049389166665,3.1614,0.0,0.0,0.0,1.0
1777016982,464465972,11165,121.29765101099999,31.53405081416667,3.1678,0.0,0.0,0.0,1.0
1777016982,514476391,11166,121.2976509275,31.5340510795,3.1636,0.0,0.0,0.0,1.0
1777016982,564433981,11167,121.29765084733332,31.53405131983333,3.1686,0.0,0.0,0.0,1.0
1777016982,614451809,11168,121.29765073383332,31.534051568166667,3.1683,0.0,0.0,0.0,1.0
